Month,Unemployment,Confidence
31-10-2009,612,-20
30-11-2009,618,-18
31-12-2009,621,-17
31-01-2010,636,-16
28-02-2010,635,-14
31-03-2010,645,-14
30-04-2010,653,-12
31-05-2010,656,-13
30-06-2010,659,-13
31-07-2010,661,-12
31-08-2010,666,-11
30-09-2010,669,-9
31-10-2010,671,-10
30-11-2010,672,-9
31-12-2010,676,-8
31-01-2011,675,-7
28-02-2011,677,-6
31-03-2011,681,-11
30-04-2011,687,-9
31-05-2011,692,-12
30-06-2011,688,-14
31-07-2011,687,-11
31-08-2011,689,-19
30-09-2011,697,-24
31-10-2011,707,-18
30-11-2011,720,-21
